TT,Old Depth,Old Direction,Turns,New Direction,Total Turns,New Depth,OrgNotes,NewNotes
TT1,0,SE,16,SE,16,500,
TT2,0,S,16,S,16,500,
TT3,0,N,16,N,16,500,
TT4,0,N,16,N,16,500,
TT5,0,S,16,S,16,500,
TT6,0,NE,16,NE,16,500,
TT7,0,N,16,N,16,500,
TT8,0,SW,16,SW,16,500,
TT9,0,N,48,N,48,1500,
TT10,0,N,48,N,48,1500,
TT11,0,SW,48,SW,48,1500,
TT12,0,W,48,W,48,1500,
TT13,0,NE,48,NE,48,1500,
TT14,0,W,48,W,48,1500,
TT15,0,E,48,E,48,1500,
TT16,0,O,0,O,0,0,
RF,0,W,48,W,48,1500,
RR,0,NE,16,NE,16,500,
