TT,Direction,Total Turns,Depth,Updated
TT1,E,56,1750,2021-08-09
TT2,N,56,1750,2021-08-09
TT3,S,56,1750,2021-08-09
TT4,N,56,1750,2021-08-09
TT5,S,40,1250,2021-08-09
TT6,NE,40,1250,2021-08-09
TT7,S,40,1250,2021-08-09
TT8,S,40,1250,2021-08-09
TT9,E,96,3000,2021-08-09
TT10,W,96,3000,2021-08-09
TT11,E,96,3000,2021-08-09
TT12,SE,96,3000,2021-08-09
TT13,N,96,3000,2021-08-09
TT14,SE,96,3000,2021-08-09
TT15,S,48,1500,2021-08-09
TT16,NW,96,3000,2021-08-09
RF,S,64,2000,2021-08-09
RR,W,16,500,2021-08-09
