TT,Direction,Total Turns,Depth,Updated
TT1,S,0,0,2021-11-29
TT2,S,0,0,2021-11-29
TT3,S,0,0,2021-11-29
TT4,S,0,0,2021-11-29
TT5,S,0,0,2021-11-29
TT6,S,0,0,2021-11-29
TT7,S,0,0,2021-11-29
TT8,E,0,0,2021-11-29
TT9,E,0,0,2021-11-29
TT10,E,0,0,2021-11-29
TT11,E,0,0,2021-11-29
TT12,W,0,0,2021-11-29
TT13,W,0,0,2021-11-29
TT14,W,0,0,2021-11-29
TT15,W,0,0,2021-11-29
TT16,W,0,0,2021-11-29
RF,W,0,0,2021-11-29
RR,W,0,0,2021-11-29
