TT,Direction,Total Turns,Depth,Updated
TT1,W,0,0,2021-11-30
TT2,W,0,0,2021-11-30
TT3,W,0,0,2021-11-30
TT4,W,0,0,2021-11-30
TT5,W,0,0,2021-11-30
TT6,W,0,0,2021-11-30
TT7,E,0,0,2021-11-30
TT8,E,0,0,2021-11-30
TT9,E,0,0,2021-11-30
TT10,E,0,0,2021-11-30
TT11,E,0,0,2021-11-30
TT12,S,0,0,2021-11-30
TT13,S,0,0,2021-11-30
TT14,S,0,0,2021-11-30
TT15,S,0,0,2021-11-30
TT16,S,0,0,2021-11-30
RF,S,0,0,2021-11-30
RR,O,0,0,2021-11-30
