TT,Old Depth,Old Direction,Turns,New Direction,Total Turns,New Depth,OrgNotes,NewNotes
TT1,1500,SE,8,SE,56,1750,
TT2,1500,S,8,S,56,1750,
TT3,1500,N,8,N,56,1750,
TT4,1500,N,8,N,56,1750,
TT5,1500,S,8,S,56,1750,
TT6,1500,NE,8,NE,56,1750,
TT7,1500,N,8,N,56,1750,
TT8,1500,SW,8,SW,56,1750,
TT9,2500,N,16,N,96,3000,
TT10,2500,N,16,N,96,3000,
TT11,2500,SW,16,SW,96,3000,
TT12,2500,W,16,W,96,3000,
TT13,2500,NE,16,NE,96,3000,
TT14,2500,W,16,W,96,3000,
TT15,2500,E,16,E,96,3000,
TT16,0,O,0,O,0,0,
RF,1500,W,16,W,64,2000,
RR,500,NE,8,NE,24,750,
